"id","item_group_id","title","description","link","image_link","availability","price","condition","brand","mpn","identifier_exists","google_product_category","product_type","custom_label_0","custom_label_1","custom_label_2","custom_label_3","custom_label_4","shipping_weight","shipping_length","shipping_width","shipping_height","return_policy_label"
"SIDEWAVE-2222","","Sidewave Metal Decor by Meyerdirk Art","Looking for something different in wall decor? Check out the Sidewave Metal Decor by Meyerdirk Art. This unique sculptural design is perfect for adding a creative touch to any room. The wavy line and circular accents are eye-catching and add interest to any space.

The hangers on each end make it easy for anyone to install, and the piece can be hung in a variety of ways to suit your decor or needs.

Made in the USA from durable steel, the Sidewave Metal Decor looks great on its own or as part of a group. Candy-colored discs can be replaced with other colors to change up the look.

 	Dimensions: 32"" x 9""
 	Color options: candy blue, candy green, candy orange, candy purple, candy raspberry, candy red, candy teal, candy yellow, distressed copper, or polished silver
 	Made in the USA
 	Created from durable steel","https://brakebee.com/products/4093","https://api.brakebee.com/temp_images/products/1234568006-4093-1762470422217-513333642.jpeg","out of stock","89.00 USD","new","Meyerdirk Art","","no","","","","","","","","4.60 lbs","36.00 in","12.00 in","4.00 in","30_days"
"SATELLITESQRS-2345","","Satellite Squares Metal Decor by Meyerdirk Art","If you're looking for wall decor for bedroom that's versatile enough to fit perfectly into any other space. Look no further than Satellite Squares Metal Decor by Meyerdirk Art.
The black gloss grid is adorned with colored metal discs of different sizes. These are actually interchangeable! You can change up your wall colors and not need new wall art.  There are 10 colors to choose from.

Hang this piece whichever angle you want - you can place a lone unit or gather several together to form a metal constellation. The choice is yours!
Get great value for money with this versatile wall art. Add one to your cart right now!

 	Dimensions: 24"" x 14.5""
 	Colors: candy blue, candy green, candy orange, candy purple, candy raspberry, candy red, candy teal, candy yellow, distressed copper, or polished silver
 	Made in the USA","https://brakebee.com/products/4094","https://api.brakebee.com/temp_images/products/1234568006-4094-1762470426386-400728963.jpeg","out of stock","101.00 USD","new","Meyerdirk Art","","no","","","","","","","","3.75 lbs","29.00 in","17.00 in","3.00 in","30_days"
"SPRIG-2402","","Sprig Metal Decor by Meyerdirk Art","One of the first pieces to emerge in the Meyerdirk Art ""Interchangeables"" line, the Sprig Metal Decor by Meyerdirk Art piece is a true testament to the quality and nature of our work. This particular design has an exclusive look.  You can change it up with interchangeable colored discs that can be easily removed and replaced.

The Sprig Metal Art piece evokes a sense of creative style with its sculptural composition.  Sprig comes with three colored discs, each connected by curved, solid lines. The entirety of the design is handmade using steel.  This piece is intended to be incredibly versatile for decorating purposes.

You can hang it in various positions - sideways or even upside down.  Any way you hang it, you'll create a look tailored explicitly to your home and interests.

Change the Sprig Metal Art around when the seasons change for a truly unique and evolving piece of artwork.  Purchase additional disc colors here.

 	Dimensions: 23.5"" x 21.25""
 	Color options: candy blue, candy green, candy orange, candy purple, candy raspberry, candy red, candy teal, candy yellow, distressed copper, or polished silver
 	Made in the USA
 	Created from steel","https://brakebee.com/products/4095","https://api.brakebee.com/temp_images/products/1234568006-4095-1762470579603-820272656.jpeg","out of stock","79.00 USD","new","Meyerdirk Art","","no","","","","","","","","4.00 lbs","24.00 in","24.00 in","4.00 in","30_days"
"DREAMTREE-2442","","Dream Tree Metal Decor by Meyerdirk Art","Dreams do come true just like how this Dream Tree Metal Decor by Meyerdirk Art makes your room dream-like with its shiny gloss finish and intricate design. Getting this artwork is a must so that you can give your space a touch of warmth and vibrancy. Choose from the large selection of color options that will easily coordinate with your home interior. Add this to your cart today!

 	Dream Tree Metal Decor by Meyerdirk Art dimensions: 26"" x 24""
 	Colors: candy blue, candy green/candy brown, candy rainbow, candy red, candy teal, candy yellow, distressed copper, distressed steel
 	Made in the USA","https://brakebee.com/products/4096","https://api.brakebee.com/temp_images/products/1234568006-4096-1762470581912-229320285.jpeg","out of stock","85.00 USD","new","Meyerdirk Art","","no","","","","","","","","4.15 lbs","26.00 in","26.00 in","4.00 in","30_days"
"SATELLITECIRC-2473","","Satellite Circles Metal Decor by Meyerdirk Art","If you're looking for wall decor for bedroom that's versatile enough to fit perfectly into any other space, this Satellite Circles Metal Decor by Meyerdirk Art what you need. The black gloss grid is adorned with colored metal discs of different sizes. These are actually interchangeable! You can change up your wall colors and not need new wall art because there are 10 colors to choose from. Hang this piece whichever angle you want - you can place a lone unit or gather several together to form a metal constellation. The choice is yours! Get great value for money with this versatile wall art. Add one to your cart right now!","https://brakebee.com/products/4097","https://api.brakebee.com/temp_images/products/1234568006-4097-1762470583843-179604669.jpeg","out of stock","80.80 USD","new","Meyerdirk Art","","no","","","","","","","","3.75 lbs","29.00 in","17.00 in","3.00 in","30_days"
"CONTEMPSQRS-2597","","Contemporary Squares Metal Decor Set by Meyerdirk Art","Showcase your creativity by creating abstract patterns on your walls with these Contemporary Squares Metal Decor Set by Meyerdirk Art! These squares are uniquely designed with a cutout square in the middle.  This cut out makes it look more stylish as a room decor. Each set of these contemporary squares give you three squares of different sizes. Contemporary Squares come in  11 different color options. These squares can also be easily mixed and matched with other wall decor.  You can easily channel your creativity through your walls! Get your own contemporary squares wall decor now! If you want to create a wall of circles and squares, be sure to check out Contemporary Circles by Meyerdirk Art.  These circles come in all the same colors as the Contemporary Squares, but the are a bit more....well rounded.","https://brakebee.com/products/4098","https://api.brakebee.com/temp_images/products/1234568006-4098-1762470586872-985420989.jpeg","out of stock","105.00 USD","new","Meyerdirk Art","","no","","","","","","","","3.25 lbs","13.00 in","13.00 in","4.00 in","30_days"
"CONTEMPCIRCLES-2773","","Contemporary Circles Decor Set by Meyerdirk Art","If you’re looking for wall decor that’s straightforward and very easy to install, these Contemporary Circles Decor Set by Meyerdirk Art are perfect for you! These circles are uniquely designed with a cutout circle in the middle.  This cutout makes it look more stylish as a room decor. Each set of these contemporary circles give you three circles of different sizes. These circles come in different colors so you can easily mix and match them and make your room look like it Is filled with different colored bubbles on your walls. These circles add a touch of class and sophistication to an otherwise plain and boring space! Grab your own contemporary circles wall decor now!","https://brakebee.com/products/4099","https://api.brakebee.com/temp_images/products/1234568006-4099-1762470589433-633166669.jpeg","out of stock","88.00 USD","new","Meyerdirk Art","","no","","","","","","","","2.75 lbs","13.00 in","13.00 in","4.00 in","30_days"
"LIGHTNING-2816","","Lightning Metal Decor Set by Meyerdirk Art","If you're looking for an artwork to liven up your drab wall, this Lightning Metal Decor Set by Meyerdirk Art offers you the perfect solution! A distressed copper background the perfect setting for the metallic jagged lines cutting across the length of the panel. Choose from a blue, copper, gold, green, red, silver, or teal lightning design to complement or to add a dash of contrasting color to your space. Place the two-panel artwork beside each other or use them to border a piece de resistance!","https://brakebee.com/products/4100","https://api.brakebee.com/temp_images/products/1234568006-4100-1762470591947-93195649.jpeg","out of stock","273.25 USD","new","Meyerdirk Art","","no","","","","","","","","9.25 lbs","38.00 in","6.00 in","6.00 in","30_days"
"REPEAT-2831","","Repeat Metal Decor by Meyerdirk Art","Create drama for your stage – which is your home, when you get to hang the Repeat Metal Decor by Meyerdirk Art inside your home. This beautifully crafted art piece will absolutely be a standout inside your minimalist home. When your home is made up of lines and geometric design, this is a particularly stunning piece. Repeat consists of 6 layers of metal that are beautifully stacked on top of each other.  This stacking creates a 3-dimensional piece of artwork.  So extraordinary that you would want to own not just one, but two! Add them to your cart today!","https://brakebee.com/products/4101","https://api.brakebee.com/temp_images/products/1234568006-4101-1762470593576-420059064.jpeg","out of stock","228.00 USD","new","Meyerdirk Art","","no","","","","","","","","7.75 lbs","29.00 in","17.00 in","3.00 in","30_days"
"STAIRS-2894","","Stairs Metal Decor by Meyerdirk Art","They say that the shape of a home’s stairs are like it’s emotion. Likewise, adding the right art in the right place can evoke the same attractions and emotions from guests who visit your home. Bring some of that abstract emotion into your space with this piece of art, called Stairs Metal Decor by Meyerdirk Art. Stairs comes in a variety of colors, each sitting atop the polished silver-tone background that looks absolutely stunning when reflecting natural or direct light.  The entire piece is finished with a high gloss polish, that, when hung on your wall creates a vibrant, reflective vibe. Hang this great wall art on your wall and take a glimpse of a different side of your emotions though this artwork.","https://brakebee.com/products/4102","https://api.brakebee.com/temp_images/products/1234568006-4102-1762470594385-655018083.jpeg","out of stock","110.00 USD","new","Meyerdirk Art","","no","","","","","","","","9.25 lbs","29.00 in","17.00 in","3.00 in","30_days"
